event,traceID,taskID,timestamp
mousemove on arrival,51,0,0
mousemove on airtime,51,0,1
mousemove on distance,51,0,2
mousemove on departure,51,0,3
mousemove on departure,51,0,4
brush on departure,51,0,5
brush on departure,51,0,6
mousemove on delay,51,1,7
brush on airtime,51,1,8
brush on airtime,51,1,9
mousemove on airtime,51,1,10
brush on airtime,51,1,11
click on airtime,51,1,12
mousemove on airtime,51,1,13
brush on airtime,51,1,14
brush on airtime,51,1,15
brush on airtime,51,1,16
brush on airtime,51,1,17
click on airtime,51,1,18
mousemove on airtime,51,1,19
brush on airtime,51,1,20
click on airtime,51,1,21
mousemove on departure,51,2,22
brush on departure,51,2,23
brush on departure,51,2,24
brush on departure,51,2,25
click on departure,51,2,26
mousemove on departure,51,2,27
brush on departure,51,2,28
brush on departure,51,2,29
click on departure,51,2,30
mousemove on departure,51,2,31
brush on departure,51,2,32
brush on departure,51,2,33
click on departure,51,2,34
mousemove on departure,51,2,35
brush on departure,51,2,36
brush on departure,51,2,37
click on departure,51,2,38
mousemove on departure,51,2,39
brush on departure,51,2,40
brush on departure,51,2,41
click on departure,51,2,42
mousemove on departure,51,2,43
brush on departure,51,2,44
brush on departure,51,2,45
click on departure,51,2,46
mousemove on departure,51,2,47
brush on departure,51,2,48
brush on departure,51,2,49
click on departure,51,2,50
mousemove on departure,51,2,51
brush on departure,51,2,52
brush on departure,51,2,53
click on departure,51,2,54
mousemove on departure,51,2,55
brush on departure,51,2,56
brush on departure,51,2,57
click on departure,51,2,58
mousemove on departure,51,3,59
brush on departure,51,3,60
brush on departure,51,3,61
brush on departure,51,3,62
click on departure,51,3,63
mousemove on departure,51,3,64
brush on departure,51,3,65
brush on departure,51,3,66
click on departure,51,3,67
mousemove on arrival,51,3,68
brush on arrival,51,3,69
brush on arrival,51,3,70
brush on arrival,51,3,71
click on arrival,51,3,72
mousemove on arrival,51,3,73
brush on arrival,51,3,74
brush on arrival,51,3,75
click on arrival,51,3,76
mousemove on distance,51,3,77
brush on distance,51,3,78
brush on distance,51,3,79
brush on distance,51,3,80
click on distance,51,3,81
mousemove on airtime,51,3,82
brush on airtime,51,3,83
brush on airtime,51,3,84
brush on airtime,51,3,85
click on airtime,51,3,86
mousemove on departure,51,3,87
brush on departure,51,3,88
brush on departure,51,3,89
click on departure,51,3,90
mousemove on distance,51,4,91
brush on distance,51,4,92
brush on distance,51,4,93
brush on distance,51,4,94
click on distance,51,4,95
mousemove on departure,51,4,96
brush on departure,51,4,97
brush on departure,51,4,98
brush on departure,51,4,99
click on departure,51,4,100
mousemove on delay,51,4,101
brush on delay,51,4,102
mousemove on delay,51,4,103
brush on delay,51,4,104
brush on delay,51,4,105
mousemove on delay,51,4,106
brush on delay,51,4,107
brush on delay,51,4,108
