event,traceID,taskID,formatted_timestamp
mousemove on distance,10,0,20221207T160000
mousemove on airtime,10,0,20221207T160001
mousemove on departure,10,0,20221207T160002
mousemove on departure,10,0,20221207T160003
brush on departure,10,0,20221207T160004
brush on departure,10,0,20221207T160005
mousemove on arrival,10,1,20221207T160006
brush on airtime,10,1,20221207T160007
mousemove on delay,10,2,20221207T160008
brush on airtime,10,2,20221207T160009
brush on airtime,10,2,20221207T160010
brush on airtime,10,2,20221207T160011
brush on departure,10,2,20221207T160012
click on departure,10,2,20221207T160013
mousemove on departure,10,2,20221207T160014
click on departure,10,2,20221207T160015
click on departure,10,2,20221207T160016
mousemove on arrival,10,3,20221207T160017
brush on arrival,10,3,20221207T160018
click on arrival,10,3,20221207T160019
mousemove on arrival,10,3,20221207T160020
click on arrival,10,3,20221207T160021
mousemove on airtime,10,3,20221207T160022
brush on airtime,10,3,20221207T160023
click on airtime,10,3,20221207T160024
mousemove on airtime,10,3,20221207T160025
click on airtime,10,3,20221207T160026
mousemove on distance,10,3,20221207T160027
brush on distance,10,3,20221207T160028
click on distance,10,3,20221207T160029
mousemove on departure,10,4,20221207T160030
brush on departure,10,4,20221207T160031
click on departure,10,4,20221207T160032
mousemove on departure,10,4,20221207T160033
click on departure,10,4,20221207T160034
mousemove on distance,10,4,20221207T160035
brush on distance,10,4,20221207T160036
mousemove on distance,10,4,20221207T160037
click on distance,10,4,20221207T160038
mousemove on distance,10,4,20221207T160039
click on distance,10,4,20221207T160040
