event,traceID,taskID,timestamp,formatted_timestamp
mousemove on arrival,51,0,0,20221207T1600
mousemove on airtime,51,0,1,20221207T1600
mousemove on distance,51,0,2,20221207T1600
mousemove on departure,51,0,3,20221207T1600
mousemove on departure,51,0,4,20221207T1600
brush on departure,51,0,5,20221207T1600
brush on departure,51,0,6,20221207T1600
mousemove on delay,51,1,7,20221207T1600
brush on airtime,51,1,8,20221207T1600
brush on airtime,51,1,9,20221207T1600
mousemove on airtime,51,1,10,20221207T1600
brush on airtime,51,1,11,20221207T1601
click on airtime,51,1,12,20221207T1601
mousemove on airtime,51,1,13,20221207T1601
brush on airtime,51,1,14,20221207T1601
brush on airtime,51,1,15,20221207T1602
brush on airtime,51,1,16,20221207T1602
brush on airtime,51,1,17,20221207T1602
click on airtime,51,1,18,20221207T1602
mousemove on airtime,51,1,19,20221207T1603
brush on airtime,51,1,20,20221207T1603
click on airtime,51,1,21,20221207T1603
mousemove on departure,51,2,22,20221207T1604
brush on departure,51,2,23,20221207T1604
brush on departure,51,2,24,20221207T1605
brush on departure,51,2,25,20221207T1605
click on departure,51,2,26,20221207T1605
mousemove on departure,51,2,27,20221207T1606
brush on departure,51,2,28,20221207T1606
brush on departure,51,2,29,20221207T1607
click on departure,51,2,30,20221207T1607
mousemove on departure,51,2,31,20221207T1608
brush on departure,51,2,32,20221207T1608
brush on departure,51,2,33,20221207T1609
click on departure,51,2,34,20221207T1609
mousemove on departure,51,2,35,20221207T1610
brush on departure,51,2,36,20221207T1611
brush on departure,51,2,37,20221207T1611
click on departure,51,2,38,20221207T1612
mousemove on departure,51,2,39,20221207T1613
brush on departure,51,2,40,20221207T1613
brush on departure,51,2,41,20221207T1614
click on departure,51,2,42,20221207T1615
mousemove on departure,51,2,43,20221207T1615
brush on departure,51,2,44,20221207T1616
brush on departure,51,2,45,20221207T1617
click on departure,51,2,46,20221207T1618
mousemove on departure,51,2,47,20221207T1618
brush on departure,51,2,48,20221207T1619
brush on departure,51,2,49,20221207T1620
click on departure,51,2,50,20221207T1621
mousemove on departure,51,2,51,20221207T1622
brush on departure,51,2,52,20221207T1622
brush on departure,51,2,53,20221207T1623
click on departure,51,2,54,20221207T1624
mousemove on departure,51,2,55,20221207T1625
brush on departure,51,2,56,20221207T1626
brush on departure,51,2,57,20221207T1627
click on departure,51,2,58,20221207T1628
mousemove on departure,51,3,59,20221207T1629
brush on departure,51,3,60,20221207T1630
brush on departure,51,3,61,20221207T1631
brush on departure,51,3,62,20221207T1632
click on departure,51,3,63,20221207T1633
mousemove on departure,51,3,64,20221207T1634
brush on departure,51,3,65,20221207T1635
brush on departure,51,3,66,20221207T1636
click on departure,51,3,67,20221207T1637
mousemove on arrival,51,3,68,20221207T1639
brush on arrival,51,3,69,20221207T1640
brush on arrival,51,3,70,20221207T1641
brush on arrival,51,3,71,20221207T1642
click on arrival,51,3,72,20221207T1643
mousemove on arrival,51,3,73,20221207T1645
brush on arrival,51,3,74,20221207T1646
brush on arrival,51,3,75,20221207T1647
click on arrival,51,3,76,20221207T1648
mousemove on distance,51,3,77,20221207T1650
brush on distance,51,3,78,20221207T1651
brush on distance,51,3,79,20221207T1652
brush on distance,51,3,80,20221207T1654
click on distance,51,3,81,20221207T1655
mousemove on airtime,51,3,82,20221207T1656
brush on airtime,51,3,83,20221207T1658
brush on airtime,51,3,84,20221207T1659
brush on airtime,51,3,85,20221207T1700
click on airtime,51,3,86,20221207T1702
mousemove on departure,51,3,87,20221207T1703
brush on departure,51,3,88,20221207T1705
brush on departure,51,3,89,20221207T1706
click on departure,51,3,90,20221207T1708
mousemove on distance,51,4,91,20221207T1709
brush on distance,51,4,92,20221207T1711
brush on distance,51,4,93,20221207T1712
brush on distance,51,4,94,20221207T1714
click on distance,51,4,95,20221207T1716
mousemove on departure,51,4,96,20221207T1717
brush on departure,51,4,97,20221207T1719
brush on departure,51,4,98,20221207T1720
brush on departure,51,4,99,20221207T1722
click on departure,51,4,100,20221207T1724
mousemove on delay,51,4,101,20221207T1725
brush on delay,51,4,102,20221207T1727
mousemove on delay,51,4,103,20221207T1729
brush on delay,51,4,104,20221207T1731
brush on delay,51,4,105,20221207T1732
mousemove on delay,51,4,106,20221207T1734
brush on delay,51,4,107,20221207T1736
brush on delay,51,4,108,20221207T1738
