event,traceID,taskID,timestamp
mousemove on airtime,29,0,0
mousemove on distance,29,0,1
mousemove on departure,29,0,2
wheel on distance,29,0,3
mousemove on arrival,29,0,4
mousemove on departure,29,0,5
brush on departure,29,0,6
click on departure,29,0,7
mousemove on departure,29,0,8
brush on departure,29,0,9
brush on departure,29,0,10
brush on departure,29,0,11
click on departure,29,0,12
mousemove on departure,29,0,13
brush on departure,29,0,14
click on departure,29,0,15
wheel on distance,29,0,16
mousemove on departure,29,1,17
brush on departure,29,1,18
click on departure,29,1,19
mousemove on departure,29,1,20
brush on departure,29,1,21
brush on departure,29,1,22
wheel on airtime,29,1,23
wheel on airtime,29,1,24
wheel on arrival,29,1,25
mousemove on delay,29,1,26
brush on departure,29,1,27
click on departure,29,1,28
wheel on airtime,29,1,29
wheel on distance,29,1,30
mousemove on airtime,29,1,31
brush on airtime,29,1,32
click on airtime,29,1,33
mousemove on departure,29,1,34
brush on departure,29,1,35
mousemove on departure,29,1,36
brush on arrival,29,1,37
wheel on airtime,29,1,38
wheel on airtime,29,1,39
mousemove on airtime,29,1,40
brush on airtime,29,1,41
click on airtime,29,1,42
mousemove on airtime,29,1,43
brush on airtime,29,1,44
dblclick on airtime,29,1,45
brush on airtime,29,1,46
brush on airtime,29,1,47
brush on arrival,29,2,48
wheel on airtime,29,2,49
wheel on airtime,29,2,50
wheel on airtime,29,2,51
wheel on airtime,29,2,52
wheel on airtime,29,2,53
brush on departure,29,2,54
brush on departure,29,2,55
brush on departure,29,2,56
brush on distance,29,2,57
brush on departure,29,2,58
brush on departure,29,2,59
brush on departure,29,2,60
mousemove on departure,29,2,61
mousemove on departure,29,2,62
brush on arrival,29,2,63
mousemove on arrival,29,2,64
brush on arrival,29,2,65
click on arrival,29,2,66
wheel on airtime,29,2,67
wheel on airtime,29,2,68
wheel on airtime,29,2,69
wheel on departure,29,2,70
mousemove on arrival,29,2,71
brush on arrival,29,2,72
wheel on distance,29,3,73
mousemove on delay,29,3,74
mousemove on delay,29,3,75
brush on delay,29,3,76
mousemove on delay,29,3,77
mousemove on airtime,29,3,78
brush on airtime,29,3,79
